CVE_SUC,NOM_SUC,CVE_ZONA,NOM_ZONA,CVE_COORD,NOM_COORD
284,SUC. CENTRO AGUASCALIENTES,9931,D DIV RB CENTRO,6205,C02 - AGS ZAC
285,SUC. ZACATECAS.,9931,D DIV RB CENTRO,6205,C02 - AGS ZAC
286,SUC. AMRICAS,9931,D DIV RB CENTRO,6205,C02 - AGS ZAC
287,SUC. P SAN CARLOS,9931,D DIV RB CENTRO,6210,C05 - S.L.P
288,SUC. CENTRO SLP,9931,D DIV RB CENTRO,6210,C05 - S.L.P
290,SUC. PZA. ARBOLEDAS,6150,D DIV RB OCCIDENTE,6135,O01 - GUADALAJARA
291,SUC. LA PIEDAD,6150,D DIV RB OCCIDENTE,6053,O05 - ALTOS JALISCO
292,SUC. ZAMORA,6150,D DIV RB OCCIDENTE,6526,O07 - MORELIA
293,SUC. MORELIA,6150,D DIV RB OCCIDENTE,6526,O07 - MORELIA
294,SUC. URUAPAN,6150,D DIV RB OCCIDENTE,6526,O07 - MORELIA
296,SUC. SAHUAYO,6150,D DIV RB OCCIDENTE,6053,O05 - ALTOS JALISCO
297,SUC. LOS REYES,6150,D DIV RB OCCIDENTE,6526,O07 - MORELIA
298,SUC. ZITACUARO,9934,D DIV RB METRO NORTE,5207,MN01 - TOLUCA
300,SUC. MORELIA CHAPULTEPEC,6150,D DIV RB OCCIDENTE,6526,O07 - MORELIA
301,SUC. MORELIA GEMINIS,6150,D DIV RB OCCIDENTE,6526,O07 - MORELIA
302,SUC. CELAYA CENTRO,9931,D DIV RB CENTRO,6609,C04 - GUANAJUATO
303,SUC. ESTADIO,6150,D DIV RB OCCIDENTE,6135,O01 - GUADALAJARA
304,SUC. PLAZA DORADA,9931,D DIV RB CENTRO,6609,C04 - GUANAJUATO
305,SUC. LAS AGUILAS,6150,D DIV RB OCCIDENTE,6135,O01 - GUADALAJARA
306,SUC. CD. DEL CARMEN,9610,D DIV RB PENINSULAR,9308,P05 - PENINSULA
310,SUC. LA PAZ,9933,D DIV RB  SUR,5218,S01 - PUEBLA
313,SUC.REVOLUCION,9933,D DIV RB  SUR,5218,S01 - PUEBLA
314,SUC.LOS ANGELES,9933,D DIV RB  SUR,5218,S01 - PUEBLA
315,SUC. FINANZAS,9933,D DIV RB  SUR,5223,S02 - PUEBLA
316,SUC. SAN MANUEL,9933,D DIV RB  SUR,5223,S02 - PUEBLA
318,SUC. AEROPUERTO,6150,D DIV RB OCCIDENTE,6056,O02 - GUADALAJARA
319,SUC. IZUCAR MATAMOROS,9933,D DIV RB  SUR,5218,S01 - PUEBLA
320,SUC. TEHUACAN,9933,D DIV RB  SUR,5223,S02 - PUEBLA
321,SUC. HUAJUAPAN DE LEON,9933,D DIV RB  SUR,5815,S07 - OAXACA
322,SUC. LARA GRAJALES,9933,D DIV RB  SUR,5236,S03 - PUEBLA-TLAXCALA
324,SUC. SAN MARTIN TEX,9933,D DIV RB  SUR,5236,S03 - PUEBLA-TLAXCALA
325,SUC. ATLIXCO,9933,D DIV RB  SUR,5218,S01 - PUEBLA
327,SUC. HUAUCHINANGO PUEBLA,9933,D DIV RB  SUR,8611,S06 - POZA RICA
328,SUC. HUAMANTLA,9933,D DIV RB  SUR,5236,S03 - PUEBLA-TLAXCALA
329,SUC. TLAPA GUERRERO,9933,D DIV RB  SUR,5225,S08 - GUERRERO
330,SUC. APIZACO,9933,D DIV RB  SUR,5236,S03 - PUEBLA-TLAXCALA
331,SUC. LA CALMA,6150,D DIV RB OCCIDENTE,6135,O01 - GUADALAJARA
332,SUC. TLAXCALA,9933,D DIV RB  SUR,5236,S03 - PUEBLA-TLAXCALA
334,SUC. XALAPA CRYSTAL,9933,D DIV RB  SUR,8471,S04 - XALAPA
335,SUC. JALAPA URBANA,9933,D DIV RB  SUR,8471,S04 - XALAPA
336,SUC. OF. CENTRAL,9933,D DIV RB  SUR,5219,S05 - VERACRUZ
337,SUC. PLAZA MOCAMBO,9933,D DIV RB  SUR,5219,S05 - VERACRUZ
338,SUC. POZA RICA,9933,D DIV RB  SUR,8611,S06 - POZA RICA
341,SUC. CORDOBA,9933,D DIV RB  SUR,8471,S04 - XALAPA
342,SUC. TUXPAN,9933,D DIV RB  SUR,8611,S06 - POZA RICA
343,SUC. ORIZABA,9933,D DIV RB  SUR,8471,S04 - XALAPA
344,SUC. COATZACOLACOS,9933,D DIV RB  SUR,5219,S05 - VERACRUZ
345,SUC. MINATITLAN,9933,D DIV RB  SUR,5219,S05 - VERACRUZ
346,SUC. OFICINA CENTRAL VILLAHERM,9610,D DIV RB PENINSULAR,9000,P02 - TABASCO
347,SUC. ATASTA,9610,D DIV RB PENINSULAR,9000,P02 - TABASCO
348,SUC. CARDENAS,9610,D DIV RB PENINSULAR,9000,P02 - TABASCO
349,SUC. COMALCALCO,9610,D DIV RB PENINSULAR,9000,P02 - TABASCO
350,SUC. MENDEZ,9610,D DIV RB PENINSULAR,9000,P02 - TABASCO
351,SUC.TAMULTE,9610,D DIV RB PENINSULAR,9000,P02 - TABASCO
352,SUC. RUIZ CORTINEZ,9610,D DIV RB PENINSULAR,9000,P02 - TABASCO
353,SUC. OAXACA,9933,D DIV RB  SUR,5815,S07 - OAXACA
354,SUC. BALANCAN,9610,D DIV RB PENINSULAR,9000,P02 - TABASCO
355,SUC.FRONTERA,9610,D DIV RB PENINSULAR,9000,P02 - TABASCO
357,SUC. TEAPA,9610,D DIV RB PENINSULAR,9000,P02 - TABASCO
359,SUC. TUXTLA CENTRO,9610,D DIV RB PENINSULAR,9105,P03 - CHIAPAS
360,SUC. TAPACHULA CENTRO,9610,D DIV RB PENINSULAR,9105,P03 - CHIAPAS
362,SUC. ECHEGARAY,9934,D DIV RB METRO NORTE,5205,MN04 - SATELITE
364,SUC. PLAZA LOMAS,6150,D DIV RB OCCIDENTE,6056,O02 - GUADALAJARA
365,SUC.CHIAPA DE CORZO,9610,D DIV RB PENINSULAR,9105,P03 - CHIAPAS
366,SUC.URBANA BOULEVARD,9610,D DIV RB PENINSULAR,9105,P03 - CHIAPAS
367,SUC.SN.CRISTOBAL,9610,D DIV RB PENINSULAR,9105,P03 - CHIAPAS
369,SUC.CAMPECHE,9610,D DIV RB PENINSULAR,9308,P05 - PENINSULA
370,SUC. CENTRO QUERETARO,9931,D DIV RB CENTRO,6607,C03 - QUERETARO
371,SUC.SAN JUAN DEL RIO,9931,D DIV RB CENTRO,6607,C03 - QUERETARO
372,SUC.PLAZA LAS AMERICAS,9931,D DIV RB CENTRO,6607,C03 - QUERETARO
373,SUC.JURICA,9931,D DIV RB CENTRO,6607,C03 - QUERETARO
374,SUC.MONTEJO,9610,D DIV RB PENINSULAR,9217,P01 - MERIDA
375,SUC.SANTIAGO,9610,D DIV RB PENINSULAR,9308,P05 - PENINSULA
376,SUC.ITZIMNA,9610,D DIV RB PENINSULAR,9217,P01 - MERIDA
377,SUC.MERCADO,9610,D DIV RB PENINSULAR,9308,P05 - PENINSULA
378,SUC. CANCUN,9610,D DIV RB PENINSULAR,9236,P04 - CANCUN
379,SUC.CHETUMAL,9610,D DIV RB PENINSULAR,9308,P05 - PENINSULA
380,SUC.TIZIMIN,9610,D DIV RB PENINSULAR,9308,P05 - PENINSULA
387,SUC. VILLAS DE STO.DOMINGO,9932,D DIV RB NORTE,8039,N03 - MONTERREY 3
388,SUC. LA ROSITA,9932,D DIV RB NORTE,8727,N09 - TORREON
389,SUC.ZONA DORADA,6777,D DIV  RB NOROESTE,7218,NO08 - SINALOA NORTE
392,SUC.GALERIAS,9931,D DIV RB CENTRO,6609,C04 - GUANAJUATO
395,SUC.TECNOLOGICO,6777,D DIV  RB NOROESTE,7701,NO10 - CHIHUAHUA CENTRO
396,SUC. LAS CALIFORNIA,6777,D DIV  RB NOROESTE,7611,NO03 - MEXICALI
398,SUC. REVOLUCION SUR,9932,D DIV RB NORTE,8011,N04 - MONTERREY 4
400,SUC.JARDINES,9931,D DIV RB CENTRO,6607,C03 - QUERETARO
401,SUC.PLAZA CRYSTAL,9610,D DIV RB PENINSULAR,9105,P03 - CHIAPAS
402,SUC. LA FE,9932,D DIV RB NORTE,8150,N01 - MONTERREY 1
404,SUC.ABASTOS QUERETARO,9931,D DIV RB CENTRO,6607,C03 - QUERETARO
405,SUC. NUEVO MEXICALI,6777,D DIV  RB NOROESTE,7611,NO03 - MEXICALI
406,SUC.CENTRAL CAMIONERA,9933,D DIV RB  SUR,5223,S02 - PUEBLA
407,SUC. ZAVALETA,9933,D DIV RB  SUR,5218,S01 - PUEBLA
411,SUC. JULIAN DE OBREGON,9931,D DIV RB CENTRO,6204,C01 - LEON
414,SUC. ARBIDE,9931,D DIV RB CENTRO,6204,C01 - LEON
415,SUC.TORRES BRISAS,9932,D DIV RB NORTE,8011,N04 - MONTERREY 4
416,SUC.PLAZA CATEDRAL,9610,D DIV RB PENINSULAR,9000,P02 - TABASCO
417,SUC. PULGAS PANDAS,9931,D DIV RB CENTRO,6205,C02 - AGS ZAC
418,SUC.PLAZA DEL VALLE,9933,D DIV RB  SUR,5815,S07 - OAXACA
421,SUC.RUIZ CORTINES,9932,D DIV RB NORTE,8150,N01 - MONTERREY 1
422,SUC.EL LLANO,9933,D DIV RB  SUR,5815,S07 - OAXACA
423,SUC. PLAZA RELOJ,6777,D DIV  RB NOROESTE,7815,NO12 - CD JUAREZ
424,SUC. LOS ANGELES,9932,D DIV RB NORTE,8727,N09 - TORREON
425,SUC. TANGAMANGA,9931,D DIV RB CENTRO,6210,C05 - S.L.P
428,SUC. BOLIVAR,9933,D DIV RB  SUR,5219,S05 - VERACRUZ
430,SUC. PLAZA ECATEPEC,9934,D DIV RB METRO NORTE,5209,MN09 - ECATEPEC
431,SUC. MINIMAC,4831,D DIV RB METRO SUR,5226,MS10 - AEROPUERTO
433,SUC.CUITLAHUAC VALLEJO,9934,D DIV RB METRO NORTE,5206,MN06 - LINDAVISTA
434,SUC. LIVERPOOL,9934,D DIV RB METRO NORTE,5224,MN05 - CONDESA ROMA
435,SUC.VIVEROS DE LA LOMA,9934,D DIV RB METRO NORTE,5205,MN04 - SATELITE
437,SUC. XALAPA MUSEO,9933,D DIV RB  SUR,8471,S04 - XALAPA
440,SUC.CAFETALES,4831,D DIV RB METRO SUR,5215,MS07 - XOCHIMILCO
444,SUC. SANTO DOMINGO,9932,D DIV RB NORTE,8039,N03 - MONTERREY 3
446,SUC.RUIZ CORTINEZ,9933,D DIV RB  SUR,5219,S05 - VERACRUZ
449,SUC. PLAZA SUR,6150,D DIV RB OCCIDENTE,6056,O02 - GUADALAJARA
450,SUC.VOLKSWAGEN,9933,D DIV RB  SUR,5236,S03 - PUEBLA-TLAXCALA
452,SUC. VILLAFONTANA,6777,D DIV  RB NOROESTE,7611,NO03 - MEXICALI
454,SUC. CUMBRES PONIENTE,9932,D DIV RB NORTE,8003,N02 - MONTERREY 2
