customeraccount,sexo,cp,ciudad,estado,cve_prom,cve_suc,cve_zona,edo_civil
1-286991-[K,M,67129,GUADALUPE,NUEVO LEON,V8171,251,9932.0,C
1-341219-CP,F,90100,TLAXCALA,TLAXCALA,W0994,99,9934.0,S
1-793015-NW,M,91698,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,X6088,1608,9933.0,C
1-167886-WR,F,86750,CENTLA,TABASCO,V8174,355,9610.0,V
1-860255-OL,M,9410,IZTAPALAPA,CIUDAD DE MEXICO,W0248,24,4831.0,S
1-310683-J\,F,39897,ACAPULCO DE JUAREZ,GUERRERO,V0073,3013,4831.0,C
1-314402-XT,M,44220,GUADALAJARA,JALISCO,W1124,112,6150.0,S
1-291355-ZP,F,62370,CUERNAVACA,MORELOS,X9923,1992,4831.0,S
1-751613-WX,M,86180,CENTRO,TABASCO,W3461,346,9610.0,S
1-260166-CC,F,50130,TOLUCA,MEXICO,V0372,637,9934.0,C
1-279775-TA,M,57000,NEZAHUALCOYOTL,MEXICO,W0995,99,9934.0,C
1-216099-BQ,M,22450,TIJUANA,BAJA CALIFORNIA,V0130,134,6777.0,C
1-452278-MB,M,22600,TIJUANA,BAJA CALIFORNIA,W1322,132,6777.0,C
1-821513-B[,F,2460,AZCAPOTZALCO,CIUDAD DE MEXICO,W7378,737,9934.0,S
1-993282-UP,M,64858,MONTERREY,NUEVO LEON,V0420,398,9932.0,C
1-810807-UB,F,9310,IZTAPALAPA,CIUDAD DE MEXICO,W0782,78,9934.0,C
1-301658-NB,F,47680,TEPATITLAN DE MORELOS,JALISCO,W1584,158,6150.0,V
1-264381-WS,M,47000,SAN JUAN DE LOS LAGOS,JALISCO,V0253,156,9931.0,C
1-213386-XZ,M,72110,PUEBLA,PUEBLA,W9183,918,9933.0,C
1-527169-SY,F,22450,TIJUANA,BAJA CALIFORNIA,W1342,134,6777.0,S
1-946364-IU,M,72430,PUEBLA,PUEBLA,W4563,456,9933.0,C
1-486034-TW,M,7980,GUSTAVO A MADERO,CIUDAD DE MEXICO,W0628,62,4831.0,C
1-966531-RO,F,7060,GUSTAVO A MADERO,CIUDAD DE MEXICO,W0271,27,9934.0,C
1-772901-OP,F,66600,APODACA,NUEVO LEON,W0998,99,9934.0,C
1-546837-[M,M,88270,NUEVO LAREDO,TAMAULIPAS,V0077,266,9932.0,C
1-231242-LF,M,76090,QUERETARO,QUERETARO,V0168,404,9931.0,C
1-993910-GM,M,72000,PUEBLA,PUEBLA,W3154,315,9933.0,C
1-613987-[S,M,81271,AHOME,SINALOA,V8165,197,6777.0,C
1-545344-ZA,M,48200,TALPA DE ALLENDE,JALISCO,W1635,163,6150.0,C
1-228860-NI,M,72490,PUEBLA,PUEBLA,V0370,1108,9933.0,U
1-859960-CT,F,44260,GUADALAJARA,JALISCO,W1224,122,6150.0,S
1-903850-VL,F,44960,GUADALAJARA,JALISCO,W4493,449,6150.0,C
1-518027-RV,M,27360,TORREON,COAHUILA DE ZARAGOZA,W2251,225,9932.0,C
1-733905-LV,M,53780,NAUCALPAN,MEXICO,W0173,17,9934.0,C
1-955323-JV,F,7480,GUSTAVO A MADERO,CIUDAD DE MEXICO,W0994,99,9934.0,S
1-470021-GN,F,45510,TLAQUEPAQUE,JALISCO,V0430,119,6150.0,C
1-474797-EK,M,3300,BENITO JUAREZ,CIUDAD DE MEXICO,W0995,99,9934.0,S
1-708606-AZ,M,88270,NUEVO LAREDO,TAMAULIPAS,W0278,27,9934.0,S
1-691784-QN,F,45180,ZAPOPAN,JALISCO,W1202,120,6150.0,S
1-377356-RO,M,6760,CUAUHTEMOC,CIUDAD DE MEXICO,W6522,652,4831.0,S
1-364828-[P,F,48050,AYUTLA,JALISCO,Z0543,3054,4831.0,C
