customeraccount,sexo,cp,ciudad,estado,cve_prom,cve_suc,cve_zona,edo_civil,CVE_SUC,NOM_SUC,CVE_ZONA,NOM_ZONA,CVE_COORD,NOM_COORD,latitud,longitud
1-424023-XS,M,20230,AGUASCALIENTES,AGUASCALIENTES,W2863,286,9931.0,C,286,SUC. AMRICAS,9931,D DIV RB CENTRO,6205,C02 - AGS ZAC,21.8725812,-102.2985302
1-276182-UT,F,7800,GUSTAVO A MADERO,CIUDAD DE MEXICO,W0272,27,9934.0,S,27,SUC. VILLA,9934,D DIV RB METRO NORTE,5206,MN06 - LINDAVISTA,19.475981,-99.1264763
1-722014-AD,M,14350,TLALPAN,CIUDAD DE MEXICO,V0700,5,4831.0,C,5,SUC. XOCHIMILCO,4831,D DIV RB METRO SUR,5215,MS07 - XOCHIMILCO,19.3027821,-99.1294214
1-679772-QS,M,13210,TLAHUAC,CIUDAD DE MEXICO,W7571,757,9934.0,C,757,SUC. TLATILCO,9934,D DIV RB METRO NORTE,5206,MN06 - LINDAVISTA,19.3013713,-99.0584743
1-613540-UY,M,63117,TEPIC,NAYARIT,V8164,863,6150.0,C,863,SUC. JUAN ESCUTIA,6150,D DIV RB OCCIDENTE,6050,O04 -GUADALAJARA,21.5171356,-104.9277791
1-536277-AT,F,31410,CHIHUAHUA,CHIHUAHUA,V0454,750,6777.0,S,750,SUC. PLAZA QUINTAS,6777,D DIV  RB NOROESTE,7701,NO10 - CHIHUAHUA CENTRO,28.6070052,-106.1011782
1-953457-QA,M,45640,TLAJOMULCO DE ZUNIGA,JALISCO,W1744,174,6150.0,C,174,SUC. TLAJOMULCO,6150,D DIV RB OCCIDENTE,6056,O02 - GUADALAJARA,20.4761905,-103.4428076
1-519569-NV,F,52788,HUIXQUILUCAN,MEXICO,V0575,72,9934.0,C,72,SUC. INTERLOMAS,9934,D DIV RB METRO NORTE,5235,MN03 - SANTA FE,19.3928248,-99.277147
1-597889-CS,F,91274,PEROTE,VERACRUZ DE IGNACIO DE LA LLAVE,W8784,878,9933.0,C,878,SUC. TEZIUTLAN,9933,D DIV RB  SUR,8611,S06 - POZA RICA,19.5701968,-97.2369204
1-868015-E\,M,36660,IRAPUATO,GUANAJUATO,W2828,282,9931.0,S,282,SUC. IRAPUATO,9931,D DIV RB CENTRO,6609,C04 - GUANAJUATO,20.6900894,-101.3528789
1-302791-MU,M,86100,CENTRO,TABASCO,W3472,347,9610.0,C,347,SUC. ATASTA,9610,D DIV RB PENINSULAR,9000,P02 - TABASCO,17.9892533,-92.9445861
